,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
[ 2.  4.  0. 15.],-6.940350455726062e-09,-0.01,-0.01,-8.732691e-05,-7.0104550057839015e-09,-0.009999999998927101,-0.01,-0.01,0.0,0.0,-8.646065135500579e-05,-8.646065135500579e-05,-0.01,0.0,0.0,-0.01
[ 3.  5.  0. 15.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0
[ 1.  2.  2. 10.],0.0,0.0,0.0,-0.009999999756452608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009999999999421262,0.0,0.0,0.0,-0.009999999636547645
[ 2.  2.  2. 15.],-0.01,-0.01,-0.010264635846975297,-0.01,-0.01,-0.01,-0.01,-0.01,-8.920755520290001e-05,-0.01,-0.01,-0.010084065605212437,0.0,-8.309300355553374e-05,-0.0099999999350461,-0.019899999936338682
[ 1.  3.  0. 10.],0.0,0.0,1.171892201939346e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.182587616637541e-06,0.0,0.0,0.0,3.469100658896786e-20
[ 3.  4.  0. 15.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.01
[ 3.  4.  0. 20.],0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,-0.01,-0.01,-0.01,-0.01,0.0,0.0,0.0
[ 1.  1.  1. 10.],-0.00999999999579755,-7.262229357118068e-09,0.0,-7.768700077738999e-07,-0.009999999997842915,0.0,0.0,0.0,0.0,1.990488479533523e-14,-0.009999999999999907,-5.912693503047044e-11,0.0,0.0,8.14020781491787e-14,0.0
[ 2.  4.  0. 20.],-0.0099,-2.1652029000000004e-08,-0.0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.938810000000001e-07,0.0,0.0,0.0,-0.01
[ 2.  5.  0. 20.],0.0,0.0,0.0,0.0,-0.01,-0.0099,0.0,-0.01,0.0,-0.01,0.0,-0.01,-0.01,0.0,0.0,-0.01
[ 2.  4.  3. 25.],-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0
[ 2.  1.  1. 15.],-0.009999999999994945,-6.077410734561851e-08,-8.646077932840134e-05,-2.8299444217833875e-08,-8.910002167251182e-05,-8.898701910673804e-05,-0.009999999999994893,-8.829220658844499e-05,0.0,0.0,-0.009999999936333777,-0.0002551322703298969,0.0,-0.01,0.0,-8.742043961006436e-05
[ 2.  2.  2. 25.],0.0,-0.01,0.028705370865681222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009891,-0.01,0.0,0.0,0.0
[ 3.  3.  1. 15.],0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0.0,0.0,-0.01
[ 3.  3.  2. 15.],-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0
[ 3.  4.  0. 10.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0
[ 2.  3.  3. 15.],-0.0099891981,0.0,-0.01,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0
[ 3.  0.  0. 10.],-1.5803019404190003e-06,-9e-05,-0.01,-2.3818827681000005e-06,-2.3899827681000004e-06,-0.01,-0.01,-4.6009445220568814e-06,-0.01,-0.01,-7.938810000000001e-07,-0.010000770301940418,0.0,-0.01,-0.01,-4.647418709148364e-06
[ 3.  0.  0. 15.],-0.010501042858451996,-0.00017820000000000002,-0.0100891,-0.01017294221344609,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0100889870827681,-0.01,-0.0005188435878895128,-0.01,-0.01,-0.01,-0.010175553640899998
[ 3.  1.  0. 10.],-8.910000000000001e-05,-9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.910000000000001e-05,0.0,0.0,0.0
[ 3.  1.  1. 15.],0.0,-0.01,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,-0.01,-0.01,0.0,0.0,0.0,0.0
[ 2.  1.  1. 10.],-8.140834666878303e-05,0.0,-1.5563499449411175e-06,-2.2961904329690723e-06,0.0,-1.2117738299997077e-10,-0.009999999938341235,0.0,0.0,0.0,-8.229291539316961e-07,-0.009899999999999956,0.0,0.0,0.0,0.0
